37.09,74,95.03
37.31,81,99.88
36.99,72,98.51
36.38,63,96.65
36.88,69,95.86
37.45,60,98.90
36.50,62,95.07
37.26,97,98.26
36.86,94,97.80
37.33,89,98.51
36.68,73,99.67
36.72,89,99.43
36.50,88,95.83
36.75,62,98.84
37.24,94,97.67
36.46,80,95.49
37.04,83,98.48
36.86,78,98.89
37.13,83,96.99
36.61,78,99.18
36.86,74,95.77
36.15,80,97.71
37.11,85,99.20
36.17,91,97.21
36.31,62,96.74
36.74,94,99.62
37.20,78,96.39
36.30,65,97.27
36.82,68,97.32
36.51,74,99.77
36.90,65,95.28
36.76,91,97.57
37.28,77,95.37
36.20,68,97.30
36.33,77,97.27
36.04,90,97.93
37.26,79,97.22
37.01,97,99.62
37.31,68,99.77
37.35,74,96.84
36.11,68,95.13
36.68,87,98.39
36.46,86,99.57
37.22,92,99.16
36.82,75,98.10
36.29,66,96.50
36.44,96,97.22
36.42,74,97.86
37.26,85,97.48
37.47,73,99.91
